transaction_id,customer_id,product,transaction_date,quantity,amount
TXN-000725001,CUST-0000039,Speaker,2023-12-27,2,391.42
TXN-000725002,CUST-0089007,Router,2025-03-12,3,305.32
TXN-000725003,CUST-0006578,Headphones,2023-12-15,5,656.00
TXN-000725004,CUST-0156657,Tablet,2023-11-19,4,1924.17
TXN-000725005,CUST-0000669,Desk Lamp,2023-07-16,2,83.27
TXN-000725006,CUST-0079705,Webcam,2024-10-08,2,108.44
TXN-000725007,CUST-0203797,Tablet,2023-07-27,1,435.37
TXN-000725008,CUST-0061128,Desk Lamp,2023-04-28,5,204.32
TXN-000725009,CUST-0393391,Keyboard,2025-07-20,2,147.84
TXN-000725010,CUST-0003352,Desk Lamp,2024-01-26,5,202.62
TXN-000725011,CUST-0013283,Smart Watch,2023-04-02,4,1281.42
TXN-000725012,CUST-0209317,Headphones,2025-04-18,5,658.54
TXN-000725013,CUST-0028448,Laptop,2024-03-18,2,2382.79
TXN-000725014,CUST-0000191,Keyboard,2023-02-16,1,68.21
TXN-000725015,CUST-0272715,Tablet,2025-04-22,5,2316.10
TXN-000725016,CUST-0005287,Speaker,2025-08-25,3,547.28
TXN-000725017,CUST-0000147,Laptop,2025-04-26,5,5984.43
TXN-000725018,CUST-0483108,Desk Lamp,2023-10-04,3,145.30
TXN-000725019,CUST-0307176,Speaker,2023-07-24,5,885.79
TXN-000725020,CUST-0072155,Microphone,2024-10-14,4,511.62
TXN-000725021,CUST-0018456,Microphone,2024-07-11,2,258.50
TXN-000725022,CUST-0483576,Monitor,2024-07-26,3,828.50
TXN-000725023," cust-0430112  ",Monitor,2025-02-14,4,1164.32
TXN-000725024,CUST-0144517,Printer,2025-08-31,5,1020.54
TXN-000725025,CUST-0005565,Office Chair,2023-02-11,2,479.48
TXN-000725026,CUST-0446594,Tablet,2024-08-07,5,2158.54
TXN-000725027,CUST-0257425,Headphones,2025-03-15,2,217.93
TXN-000725028,CUST-0125957,Printer,2024-10-11,1,225.19
TXN-000725029,CUST-0401766,Tablet,2025-04-20,1,421.72
TXN-000725030,CUST-0234043,Headphones,2024-09-18,4,464.78
TXN-000725031,CUST-0024631,Microphone,2025-04-26,1,135.07
TXN-000725032,CUST-0136781,Printer,2023-04-04,2,416.05
TXN-000725033,CUST-0148841,Microphone,2024-04-04,5,659.22
TXN-000725034,CUST-0011568,Monitor,2023-04-23,4,
TXN-000725035,CUST-0052545,Microphone,2025-06-23,4,558.17
TXN-000725036,CUST-0000198,Graphics Card,2024-07-06,3,1924.47
TXN-000725037,CUST-0022246,Office Chair,2023-10-29,2,551.85
TXN-000725038,CUST-0363746,Power Bank,2023-12-13,3,115.97
TXN-000725039,CUST-0016410,Printer,2024-05-13,5,1019.05
